お仕事No.,応募数 合計
2203556553,2.2539007097097805
2203515280,3.850279468737644
2203546900,3.4911837999134434
2203545344,3.2647751445511783
2203557987,0.6101717426872557
2203511565,2.372064820407667
2203525420,3.1910004245362797
2203494391,3.709497478282601
2203509988,3.273533559613949
2203554385,2.0961237544827673
2203554555,1.058996158662052
2203559938,1.2483616844931962
2203546898,2.7237036352514403
2203537199,2.6260633366752915
2203509659,2.9214959071600295
2203526411,1.8926286949455775
2203558348,1.5079163291678046
2203527442,2.855162584753249
2203548920,2.1382643450062666
2203539381,2.4541912356498674
2203548939,2.3617299971634518
2203514393,3.5315260219399764
2203540200,2.9436965322248625
2203552261,2.7328028060107483
2203523737,2.5661463811570795
2203511772,1.987319743738338
2203538462,2.697944953584905
2203545202,2.872302657914492
2203501746,1.720506057221836
2203551617,1.2475805922772802
2203554360,1.7048577796900664
2203467767,2.322638737034695
2203559180,1.4934879012169393
2203526166,1.4973878880559526
2203495958,1.9589950994812473
2203552588,1.5367288483262014
2203546087,2.761786469136519
2203557223,2.453194011780766
2203551388,1.9531145788061461
2203553871,1.4001053544878785
2203528893,0.8843066179054024
2203532652,1.3064810984646407
2203558645,1.5550841066029923
2203517850,2.6768196898466616
2203526826,1.5689112029365866
2203557114,0.6951035031930352
2203559887,1.2184494357665423
2203536595,2.9304590286153855
2203555803,1.12767269343315
2203553962,0.7593284188246728
2203508238,1.6260066160743045
2203550996,1.6237911058267076
2203558732,1.2093269557012765
2203523111,1.1692238089602391
2203542663,0.9999122495084618
2203531347,2.673796800113403
2203504071,0.9634407955286122
2203548891,1.2354274801383864
2203556983,1.04287446646427
2203526244,2.170983177153982
2203505822,0.8695165917860055
2203555760,0.9627458129068439
2203559881,1.2239796514978518
2203556204,0.5695679091237733
2203522916,1.5161751517485853
2203540706,1.7917980412217243
2203535805,1.8855084719296715
2203550569,1.30732712391155
2203560065,1.174083086867867
2203554152,1.450672438579411
2203558707,1.4948170345218685
2203536025,2.3076385146483824
2203556657,1.340071884292086
2203554919,1.7408384994440507
2203548209,1.1258591292454763
2203559357,0.49518862798768787
2203534402,1.0484730347308167
2203549990,0.7462058461432608
2203556312,1.4132067834113793
2203550931,0.9073089633285071
2203506584,1.7584023502373902
2203556533,1.184211808943869
2203554930,1.4585578428458723
2203550201,0.624112348428469
2203557199,1.2334893236958082
2203545333,0.6571188508685865
2203470445,1.5861207993119555
2203552444,1.9078362320712068
2203547445,1.6169227155616963
