お仕事No.,応募数 合計
2203556553,2.26208521563376
2203515280,3.761013990024286
2203546900,3.4702466725246577
2203545344,3.303646130788648
2203557987,0.6382122061506956
2203511565,2.41110540517115
2203525420,3.19376209763324
2203494391,3.780287736238212
2203509988,3.2307033786593964
2203554385,2.025011554990058
2203554555,1.0188626136788668
2203559938,1.2902239751993758
2203546898,2.6512795413875767
2203537199,2.5838131782897817
2203509659,2.955037586848544
2203526411,1.8259368309876889
2203558348,1.5458289648737142
2203527442,2.830707800473972
2203548920,2.1142003507193823
2203539381,2.4595080279769848
2203548939,2.286735189376395
2203514393,3.5459928823381346
2203540200,2.9482861197528254
2203552261,2.744148010578893
2203523737,2.5506968113585438
2203511772,1.9841287446897484
2203538462,2.659933451374387
2203545202,2.8570130214533105
2203501746,1.7627867694594173
2203551617,1.284847722460715
2203554360,1.7165034995305148
2203467767,2.3492583216179908
2203559180,1.5279950655238574
2203526166,1.5390456468941838
2203495958,1.9488910837547155
2203552588,1.518895585892087
2203546087,2.726840059982925
2203557223,2.3293856035913016
2203551388,1.9568496654867604
2203553871,1.3948325797951464
2203528893,0.861558460659287
2203532652,1.3249490636516508
2203558645,1.5170756655184496
2203517850,2.7102708031590548
2203526826,1.6229986484777803
2203557114,0.6897535050614899
2203559887,1.237477468164285
2203536595,2.907554968790316
2203555803,1.0567064311967704
2203553962,0.7448504754257727
2203508238,1.6041329978773933
2203550996,1.5860454324474196
2203558732,1.2383510446752777
2203523111,1.1607975858862385
2203542663,0.9414354900930946
2203531347,2.6563724682254333
2203504071,0.9736023460974076
2203548891,1.1925751425460125
2203556983,1.027393477287445
2203526244,2.2109565762758576
2203505822,0.9025019512045501
2203555760,0.9897187862163076
2203559881,1.1892981313510536
2203556204,0.5362333074467353
2203522916,1.5208179833707252
2203540706,1.8139068260583324
2203535805,1.8667247388027983
2203550569,1.380744084872804
2203560065,1.1758205434649898
2203554152,1.4148814434816468
2203558707,1.3808937472846994
2203536025,2.2951107247812805
2203556657,1.3215099286915803
2203554919,1.7761751572977356
2203548209,1.1053903719895937
2203559357,0.4456107338141353
2203534402,0.9308964802366192
2203549990,0.7556670658854212
2203556312,1.3729964141615183
2203550931,0.924899580530169
2203506584,1.7578968877801784
2203556533,1.1549870703793284
2203554930,1.501427719753032
2203550201,0.6552630154064458
2203557199,1.2447074930652342
2203545333,0.5048509886283767
2203470445,1.55043405231085
2203552444,1.8936293780363331
2203547445,1.619825801075288
2203554851,1.822982897338777
2203551513,0.4641405408548535
2203541013,2.051626891207184
2203525798,0.4711242394565608
2203531242,1.2091097868227425
2203556362,1.2104352686743487
2203539995,1.3202627597308307
2203553418,1.2532727473519714
2203556394,1.469484959575453
2203536899,1.2213280596816345
2203558980,1.469463564884525
2203520412,0.5923618784242255
2203555115,0.6271408598708175
2203559140,1.3756245131839837
2203559289,0.0605004975205183
2203559337,1.4458111486984526
2203508914,2.3855150420815985
2203537373,1.3769476794891875
2203520321,1.7263950409583897
2203545682,1.4976914586996726
2203535788,1.5626249800913894
2203545476,0.7520663909826577
2203531107,1.0081887423990843
2203559834,0.11330386370339245
2203555325,1.456208593015664
2203505337,2.0567110666766353
2203554041,0.1499552188474626
2203534249,0.8577402096860283
2203512438,1.4888402607146438
2203549488,0.997196086107276
